hash,path,is_app,points,style_points,time,lines_added,lines_removed,files,message,timestamp
1b2b546d31fe5c8aee03fe57b801846423b53685,.gtm/junit: capsulemachinetest.makedrinkcapsulealreadyincorrectcapsule.app,True,0,0,15,0,0,1,final commit,1616849841
2d94421a5be179129acee971e78a6a12e44a9d64,.gtm/testng: orbtest.testchargeorbusingresources.app,True,0,0,20,0,0,1,socnetwork,1614427801
7142fa6d5ab879f62cfdc3d30dae8804518d5e4b,.gtm/junit: morsetranslatortest.app,True,0,0,7,0,0,1,tests,1615305041
e515278837da9a7c73923fde0b7a76b4ad67042a,ex/ex03bookshelf,False,15.0,1.0,4380,139,0,4,test push,1612893694
7142fa6d5ab879f62cfdc3d30dae8804518d5e4b,kt/kt1,False,0,0,180,7,9,1,proov,1617191894
2dc3b95bd118d4f20118fbd65f7437401aded85b,ex/ex05mysticorbs,False,13.5,1.0,360,42,20,5,stock 1,1615175700
03062dc1bddd1c4f7433fefa74079520759db3ab,ex/ex08delivery,False,0,0,120,1,0,1,delivery,1617634302
d2024466706de8b697dd55ee19ec8a2defeff239,lx/lx01stream,False,2.0,1.0,7,0,0,1,personstatistics.,1616678456
33f5a3c8f62f784934631bd28c547a20b1f89545,.gtm/junit: capsulemachinetest.testmakingcoffeewithcapsulemachinenoordertrashfull.app,True,0,0,10,0,0,1,ex07,1617038923
2dc3b95bd118d4f20118fbd65f7437401aded85b,pr/pr06shelter,False,0,0,300,2,1,1,shelter 1,1615197494
227e3651af4e705dea62a314140d296d1c10bd9c,ex/ex11computerstore,False,20.0,1.0,60,2,1,1,10,1618251178
e5949847532a923d86c76e67d7eb373b83986892,ex/ex02webbrowser,False,0,0,2365,34,15,2,1,1613150550
31ae136fba01ca42052ac4b4563052b857019022,.gtm/application: main.app,True,0,0,185,0,0,1,just test,1613593802
e5949847532a923d86c76e67d7eb373b83986892,tk/tk1,False,1.75,0.0,420,16,1,1,1,1614269627
e06735c15c0ae70511269dc1df78703c80a5c1dd,.gtm/application: exam.app,True,0,0,50,0,0,1,tk2 up,1614428555
a4076a2bcf120779015e2aa34f816dea364e0c57,ex/ex01idcode,False,14.4,1.0,1500,43,0,1,version 4 citycode,1612177613
079515b37f4d26af417a48c7fbcdfd1bda8b12ce,.gtm/junit: ee.taltech.iti0202.mysticorbs.oven in ex05mysticorbs.app,True,0,0,72,0,0,1,pr && ex,1613927917
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,ex/ex05mysticorbs,False,15.0,1.0,270,3,2,1,ex05,1614370575
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,ex/ex03bookshelf,False,12.02,1.0,3578,68,34,3,pr03 first push,1613421814
db9c003daba43c4ac829e8a50f726a69a43f9e75,ex/ex05mysticorbs,False,15.0,1.0,840,3,0,3,ex00 second try,1614610205
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex02webbrowser,False,0,0,173,14,0,1,test style six,1613057863
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,.gtm/application: exam (1).app,True,0,0,47,0,0,1,- centered average fixed,1614271832
227e3651af4e705dea62a314140d296d1c10bd9c,.gtm/junit: kitchentest.installanewcapsulemachine.app,True,0,0,6,0,0,1,1,1615864813
8fff7b3a00cbeba735f4d32a5f1d69f3ec715b4b,.gtm/junit: webbrowsertest.testhistorywithback2.app,True,0,0,30,0,0,1,should work,1612808219
9e03963810356656f577aa42d0b430a656f94095,kt/kt0,False,14.0,0.0,6005,189,1,6,1,1616691302
9e03963810356656f577aa42d0b430a656f94095,kt/kt0,False,14.0,0.0,492,2,2,1,1,1616624057
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,ex/ex02webbrowser,False,0,0,60,2,0,1,ex02 alldone,1612802344
e3d78b6a60a45ccc2406913340709ccdd8e2cdb8,.gtm/junit: databasetest.actionswithcomponentstest.app,True,0,0,54,0,0,1,pr02datastructures v2.0,1618952144
dc19d0420561cf0175257039bf35deed2c6b928d,.gtm/junit: all in ex08delivery.app,True,0,0,60,0,0,1,trytry,1617558513
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex02webbrowser,False,0,0,6198,28,52,1,top3 fix,1612644641
2d94421a5be179129acee971e78a6a12e44a9d64,ex/ex08delivery,False,0,0,3900,10,5,3,delivery,1617975250
cd4671c644e3e91baadccd5d352d5e9f51915b2f,ex/ex05mysticorbs,False,11.55,1.0,20,0,0,1,15.03,1615759930
a4076a2bcf120779015e2aa34f816dea364e0c57,.gtm/junit: componenttest.getamount.app,True,0,0,7,0,0,1,version 1,1620058922
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,.gtm/junit: spaceoventest.testspaceovencreatesstandardorbsifitisbroken.app,True,0,0,61,0,0,1,- test first part,1614436339
6e59be6a69a02cf474b30c8ed84f35b016c24338,ex/ex11computerstore,False,5.4,1.0,1080,75,20,7,lx02,1618942359
03062dc1bddd1c4f7433fefa74079520759db3ab,ex/ex02webbrowser,False,0,0,60,1,0,1,lahendus,1612879667
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,pr/pr06shelter,False,0,0,60,1,1,1,pr6,1614953271
e3d78b6a60a45ccc2406913340709ccdd8e2cdb8,.gtm/application: main (3).app,True,0,0,95,0,0,1,pr02datastructures v2.0,1614599740
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,pr/pr03ring,False,0,0,2891,114,0,3,pr03 test,1612789419
8fff7b3a00cbeba735f4d32a5f1d69f3ec715b4b,ex/ex04socialnetwork,False,0,0,5984,318,0,13,initial push,1613755004
db9c003daba43c4ac829e8a50f726a69a43f9e75,pr/pr02datastructures,False,5.0,1.0,1640,122,0,1,ex00 second try,1612214099
2dc3b95bd118d4f20118fbd65f7437401aded85b,ex/ex05mysticorbs,False,13.5,1.0,518,0,0,2,shelter 1,1615192618
a4076a2bcf120779015e2aa34f816dea364e0c57,.gtm/junit: webbrowsertest.getbookmarks.app,True,0,0,10,0,0,1,version 4.5 with tests,1612887590
2d94421a5be179129acee971e78a6a12e44a9d64,.gtm/junit: urlreadertest.readurl.app,True,0,0,135,0,0,1,ex13 pokemon,1619717274
a4076a2bcf120779015e2aa34f816dea364e0c57,pr/pr06shelter,False,0,0,4155,31,1,3,version 1,1615324794
db9c003daba43c4ac829e8a50f726a69a43f9e75,ex/ex07coffee,False,0,1.0,10705,392,38,12,ex00 second try,1615905651
db9c003daba43c4ac829e8a50f726a69a43f9e75,pr/pr04stock,False,0,0,480,2,2,3,ex00 second try,1613769632
26abbf77e39340038a011fc45ef70f8bb004a92b,ex/ex08delivery,False,0,0,120,17,3,1,ex08 basics ready,1616506965
31ae136fba01ca42052ac4b4563052b857019022,.gtm/junit: booktest.simpletestgetyearofpublishing.app,True,0,0,7,0,0,1,just test,1613682341
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,.gtm/junit: dueltest.testdueldraw.app,True,0,0,24,0,0,1,ex13 first commit,1620143314
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,.gtm/junit: hoteltest.testreserveregularroomshouldreturnoptionalroom.app,True,0,0,5,0,0,1,kt1 vabaoop commit,1617196352
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,.gtm/junit: capsulecoffeemachinetest.testcapsulemachinemakecoffee.app,True,0,0,28,0,0,1,whale commit ex07todo: add file logging,1616009196
a4076a2bcf120779015e2aa34f816dea364e0c57,.gtm/junit: coffeemachinetest.whenexceptionthrown_thenassertionsucceeds.app,True,0,0,50,0,0,1,more tests,1616017284
